trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
63,26657.364992,26683.669984,4.259999999998399,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
64,26684.669984,26698.977984,5.0179840000018885,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
65,26699.977984,26707.653984,2.392992000000959,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
66,26708.653984,26720.629984,2.269983999998658,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
67,26721.629984,26730.073984,1.7139839999981632,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
68,26731.073984,26741.72448,2.1144960000019637,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
69,26742.72448,26752.143488,1.9335040000005392,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
70,26753.143488,26763.825504,1.765503999999055,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
71,26764.825504,26772.69248,1.7815040000023146,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
72,26773.69248,26781.849504,1.7875200000016775,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
73,26782.849504,26810.506976,3.9949760000017704,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
74,26811.506976,26818.833504,1.6225279999998747,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
75,26819.833504,26848.072,2.3630080000002636,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
76,26849.072,26878.404992,3.54399999999805,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
77,26879.404992,26891.549984,1.9889920000023267,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
78,26892.549984,26909.788,3.5280000000020664,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
79,26910.788,26919.310976,2.1480000000010477,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
80,26920.310976,26931.133504,2.271520000002056,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
81,26932.133504,26939.82,1.8590079999994487,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
82,26940.82,26948.756992,1.6470079999999143,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
83,26949.756992,26959.471488,1.962496000000101,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
84,26960.471488,26970.578976,2.5679999999993015,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
85,26971.578976,26990.588,3.6790079999991576,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
86,26991.588,27002.537504,4.1285119999993185,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
87,27003.537504,27014.030496,5.0195199999980105,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
88,27015.030496,27032.482976,5.022976000000199,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
89,27033.482976,27041.908992,2.2980160000006435,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
90,27042.908992,27051.413984,3.0550079999993613,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
91,27052.413984,27063.362976,3.903999999998632,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
92,27064.362976,27096.18,5.021024000001489,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
93,27097.18,27107.280992,5.020000000000437,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
94,27108.280992,27160.030496,5.020511999999144,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
95,27161.030496,27192.164,4.205023999998957,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
96,27193.164,27215.306496,4.046496000002662,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
97,27216.306496,27238.18,5.020000000000437,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
98,27239.18,27255.401984,2.6430079999990994,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
11,18541.991392,18554.37648,5.027487999999721,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
12,18555.37648,18567.17648,3.926496000000043,12,2,Failure,OFF,-160.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
13,18568.17648,18580.760992,5.011008000001311,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
14,18581.760992,18591.917632,2.018656000000192,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
15,18592.917632,18607.920928,2.6729279999999562,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
16,18608.920928,18619.922976,5.022976000000199,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
17,18620.922976,18632.409984,5.011008000001311,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
18,18633.409984,18642.356672,3.558688000000984,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
19,18643.356672,18662.809984,5.011008000001311,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
20,18663.809984,18675.425504,3.3265279999977793,4,2,Failure,OFF,40.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
21,18676.425504,18686.043104,2.6441279999999097,0,2,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
22,18687.043104,18698.181024,4.231040000002395,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
23,18699.181024,18707.453024,1.7540479999988747,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
24,18708.453024,18726.524192,3.225216000002547,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
25,18727.524192,18742.145984,2.196991999997408,16,2,Failure,OFF,-80.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
26,18743.145984,18755.611008,3.761023999999452,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
27,18756.611008,18776.686976,2.537984000002325,12,2,Failure,OFF,-160.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
28,18777.686976,18792.162496,5.011520000000019,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
29,18793.162496,18806.15648,5.0074880000029225,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
30,18807.15648,18841.078496,5.029503999998269,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
31,18842.078496,18873.861984,5.013983999997436,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
32,18874.861984,18888.744512,4.844511999999668,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
33,18889.744512,18901.612992,5.011999999998807,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
34,18902.612992,18941.276992,5.028991999999562,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
35,18942.276992,18955.604992,1.9049919999997655,12,2,Failure,OFF,-160.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
36,18956.604992,18970.199712,3.9507200000007288,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
37,18971.199712,18982.248,3.047999999998865,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
38,18983.248,18998.406976,5.008991999999125,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
39,18999.406976,19012.184,1.4360000000015134,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
40,19013.184,19028.176992,3.0780159999994794,7,2,Failure,OFF,100.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
41,19029.176992,19059.008992,2.211007999998401,6,2,Failure,OFF,80.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
42,19060.008992,19070.658848,4.9608640000005835,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
43,19071.658848,19080.480992,1.5830080000014277,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
44,19081.480992,19144.712,5.014016000000993,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
45,19145.712,19217.314688,4.215711999997438,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,all_trials
