session,trial_index,outcome,setup_duration,search_duration,outbound,poke_latency
NoSoundCue (control),42,miss,6.24198400000023,0.027008000000932952,6.2689920000011625,5.011520000000019
NoSoundCue (control),43,success,6.190495999999257,0.020992000001569977,6.211488000000827,2.3540159999975003
NoSoundCue (control),44,success,8.740991999999096,1.7700160000022152,10.511008000001311,3.549983999997494
NoSoundCue (control),45,success,6.216511999999057,4.249984000001859,10.466496000000916,2.2390079999968293
NoSoundCue (control),46,success,8.223487999999634,3.3610239999979967,11.58451199999763,4.300992000000406
NoSoundCue (control),47,success,8.386016000000382,0.028991999999561813,8.415007999999943,2.972992000002705
NoSoundCue (control),48,success,8.378496000001178,0.006975999996939208,8.385471999998117,2.944000000003143
NoSoundCue (control),49,success,7.596991999998863,2.77401600000303,10.371008000001893,4.352991999996448
NoSoundCue (control),50,success,8.28598399999828,3.565024000003177,11.851008000001457,2.8319999999985157
NoSoundCue (control),51,success,8.759487999999692,1.3719999999993888,10.13148799999908,2.4365120000002207
NoSoundCue (control),52,success,8.255008000000089,1.1729919999997946,9.427999999999884,3.085504000002402
NoSoundCue (control),53,miss,8.972000000001572,0.007008000000496395,8.979008000002068,5.014975999998569
NoSoundCue (control),54,miss,7.574495999997453,8.087008000002243,15.661503999999695,5.020000000000437
NoSoundCue (control),55,success,8.913024000001315,0.041983999999501975,8.955008000000817,2.006015999999363
NoSoundCue (control),56,success,7.054495999997016,1.1120000000009895,8.166495999998006,4.174495999999635
NoSoundCue (control),57,success,6.297503999998298,1.0870080000022426,7.384512000000541,3.428991999997379
NoSoundCue (control),58,success,7.59897600000113,2.682015999998839,10.28099199999997,2.144000000000233
NoSoundCue (control),59,success,8.41401599999881,0.03897599999982049,8.45299199999863,3.642016000001604
NoSoundCue (control),60,success,6.32150399999955,5.602016000000731,11.92352000000028,3.1659839999992982
NoSoundCue (control),61,miss,7.493983999996999,9.240992000002734,16.734975999999733,5.015007999998488
NoSoundCue (control),62,success,6.176479999998264,1.8350080000018352,8.0114880000001,4.948992000001454
NoSoundCue (control),63,success,8.403008000001137,0.01599999999962165,8.419008000000758,3.0259839999998803
FloorRotation (scramble),1,success,8.45299199999863,22.808992000002036,31.261984000000666,4.196991999997408
FloorRotation (scramble),2,miss,14.175007999998343,3.690976000001683,17.865984000000026,5.014016000000993
FloorRotation (scramble),3,miss,3.0264960000022256,9.76499199999671,12.791487999998935,5.011008000001311
FloorRotation (scramble),4,fail,6.817984000001161,0.03500799999892479,6.852992000000086,2.1751040000017383
FloorRotation (scramble),5,miss,18.113023999998404,67.45097600000008,85.56399999999849,5.015999999999622
FloorRotation (scramble),6,success,25.533024000000296,5.748992000000726,31.282016000001022,2.2230080000008456
FloorRotation (scramble),7,success,9.2400000000016,5.870975999998336,15.110975999999937,3.3985280000015337
