session,seconds,value,source_file
NoSoundCue,23941.284992000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.285983999998,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.554975999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.556,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.572,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.573983999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.578976000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.578976000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.580000000002,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23942.582976000002,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23943.596991999999,Target zone available (X Y : 810 545 - Radius : 400),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23946.864991999999,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23946.865984,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.626976,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.628000000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.628992000002,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.886976000002,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.887999999999,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.902976000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.903999999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.908992000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.908992000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23947.909984000002,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23948.916991999999,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23955.946975999999,Target zone available (X Y : 806 344 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23958.913983999999,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23958.914976,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23958.917984,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.440480000001,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.441984000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.442975999998,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.705984,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.707999999999,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.726976000002,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.728992,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.732992000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.732992000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23960.733983999999,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23961.741984,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23962.743999999999,Target zone available (X Y : 810 545 - Radius : 400),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23968.164992000002,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23968.165983999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.312000000002,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.312991999999,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.313984,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.567999999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.569984000002,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.585984000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.588992000001,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.598976000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.598976000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23969.599999999999,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23970.600992,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23977.306976,Target zone available (X Y : 968 657 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23978.563999999998,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23978.564992,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23978.566975999998,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.525984,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.526976000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.528992,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.780992,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.781984000001,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.799999999999,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.800992,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.806496000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.806496000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23980.806976,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23981.815999999999,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23982.82,Target zone available (X Y : 810 545 - Radius : 350),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23985.817984000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23985.82,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.412,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.413983999999,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.414976,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.671999999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.673984000001,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.690976000002,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.691999999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.697504,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.697504,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23987.697983999999,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23988.709984000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23996.338975999999,Target zone available (X Y : 672 421 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24001.563999999998,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24001.564992,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24001.566975999998,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24003.927488000001,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24003.928,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24003.928992000001,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.194975999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.196,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.212992000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.214975999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.221504000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.221504000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24004.222495999999,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24005.238976000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24006.238976000001,Target zone available (X Y : 810 545 - Radius : 350),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24012.765984000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24012.766975999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.012992,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.016992000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.017983999998,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.284,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.284992000001,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.300992,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.302975999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.306976,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.306976,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24014.308991999998,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24015.317984000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24020.392992000001,Target zone available (X Y : 1001 509 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24020.716992000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24020.718976,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24020.720000000001,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.614976000001,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.616000000002,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.617984,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.876992000001,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.878976,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.894976,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.901984,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.907488000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.907488000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24022.908992000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24023.928,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24024.933983999999,Target zone available (X Y : 810 545 - Radius : 300),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24028.364991999999,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24028.365984,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.040991999998,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.041984,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.042976000001,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.293984,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.295999999998,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.316992,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.318975999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.324992000002,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.324992000002,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24030.326976,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24031.333984000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24037.998975999999,Target zone available (X Y : 1029 616 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24045.514975999999,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24045.516,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,24045.517983999998,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
