trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
79,26910.788,26919.310976,2.1480000000010477,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
80,26920.310976,26931.133504,2.271520000002056,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
81,26932.133504,26939.82,1.8590079999994487,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
82,26940.82,26948.756992,1.6470079999999143,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
83,26949.756992,26959.471488,1.962496000000101,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
84,26960.471488,26970.578976,2.5679999999993015,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
85,26971.578976,26990.588,3.6790079999991576,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
86,26991.588,27002.537504,4.1285119999993185,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
87,27003.537504,27014.030496,5.0195199999980105,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
88,27015.030496,27032.482976,5.022976000000199,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
89,27033.482976,27041.908992,2.2980160000006435,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
90,27042.908992,27051.413984,3.0550079999993613,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
91,27052.413984,27063.362976,3.903999999998632,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
92,27064.362976,27096.18,5.021024000001489,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
93,27097.18,27107.280992,5.020000000000437,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
94,27108.280992,27160.030496,5.020511999999144,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
95,27161.030496,27192.164,4.205023999998957,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
96,27193.164,27215.306496,4.046496000002662,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
97,27216.306496,27238.18,5.020000000000437,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
